dataset,model,strategy,best_val_top1,test_top1_acc,test_macro_f1,train_seconds,trainable_params,total_params
eurosat,resnet18,scratch,0.9335802469135802,0.9320987654320988,0.9304197222636572,1100.4640915000018,11181642,11181642
eurosat,resnet18,linear_probe,0.9004938271604939,0.885432098765432,0.8832639414572506,560.201917800001,5130,11181642
eurosat,resnet18,partial_ft,0.9767901234567902,0.9777777777777777,0.9770684497732269,641.1602658000011,8398858,11181642
eurosat,resnet18,full_ft,0.9780246913580247,0.9755555555555555,0.9750326214419923,1068.2650986000008,11181642,11181642
