label,group,run_dir,source_dataset,downstream_dataset,fraction,strategy,checkpoint,source_checkpoint,source_test_samples,source_before_top1,source_after_top1,forgetting_top1,source_before_macro_f1,source_after_macro_f1,forgetting_macro_f1,downstream_test_top1,downstream_test_macro_f1
eurosat/full_ft,eurosat,outputs/eurosat_ablation/full_ft,imagenet,eurosat,,full_ft,outputs/eurosat_ablation/full_ft/best.pt,torchvision::ResNet18_Weights.IMAGENET1K_V1,50000,0.6976,0.0012,0.6964,0.6929856292727858,0.00023821670470379282,0.692747412568082,0.9755555555555555,0.9750326214419923
eurosat/linear_probe,eurosat,outputs/eurosat_ablation/linear_probe,imagenet,eurosat,,linear_probe,outputs/eurosat_ablation/linear_probe/best.pt,torchvision::ResNet18_Weights.IMAGENET1K_V1,50000,0.6976,0.32026,0.37734,0.6929856292727858,0.3386951919617907,0.35429043731099513,0.885432098765432,0.8832639414572506
eurosat/partial_ft,eurosat,outputs/eurosat_ablation/partial_ft,imagenet,eurosat,,partial_ft,outputs/eurosat_ablation/partial_ft/best.pt,torchvision::ResNet18_Weights.IMAGENET1K_V1,50000,0.6976,0.00504,0.69256,0.6929856292727858,0.002424589873693346,0.6905610393990925,0.9777777777777777,0.9770684497732269
