strategy,best_val_top1,test_top1_acc,test_macro_f1,train_seconds,trainable_params,total_params
zero_shot,0.1518208661417323,0.15819116370884453,0.11536833349662987,553.3628409000003,0,2236682
from_scratch,0.9262357832878594,0.9216152668937924,0.9186302587231907,959.6917448000004,2236682,2236682
linear_probe,0.894548337759934,0.8942475943114814,0.8900872703356086,532.9844235999999,12810,2236682
partial_unfreeze,0.9663440510043948,0.9670275590551181,0.9662020003287004,577.0395356999998,898890,2236682
full_finetune,0.9810531496062992,0.9820920825004578,0.981710330202579,959.3147750999997,2236682,2236682
