label,group,run_dir,source_dataset,downstream_dataset,fraction,strategy,checkpoint,source_checkpoint,source_test_samples,source_before_top1,source_after_top1,forgetting_top1,source_before_macro_f1,source_after_macro_f1,forgetting_macro_f1,downstream_test_top1,downstream_test_macro_f1
eurosat/full_ft,eurosat,outputs/eurosat_ablation/full_ft,imagenet,eurosat,,full_ft,outputs/eurosat_ablation/full_ft/best.pt,torchvision::ResNet18_Weights.IMAGENET1K_V1,200,0.755,0.0,0.755,0.7133333333333333,0.0,0.7133333333333333,0.9755555555555555,0.9750326214419923
eurosat/linear_probe,eurosat,outputs/eurosat_ablation/linear_probe,imagenet,eurosat,,linear_probe,outputs/eurosat_ablation/linear_probe/best.pt,torchvision::ResNet18_Weights.IMAGENET1K_V1,200,0.755,0.295,0.46,0.7133333333333333,0.2808333333333333,0.43249999999999994,0.885432098765432,0.8832639414572506
eurosat/partial_ft,eurosat,outputs/eurosat_ablation/partial_ft,imagenet,eurosat,,partial_ft,outputs/eurosat_ablation/partial_ft/best.pt,torchvision::ResNet18_Weights.IMAGENET1K_V1,200,0.755,0.0,0.755,0.7133333333333333,0.0,0.7133333333333333,0.9777777777777777,0.9770684497732269
