dataset,model,strategy,best_val_top1,test_top1_acc,test_macro_f1,train_seconds,trainable_params,total_params
eurosat,resnet18,full_ft,0.9765432098765432,0.9730864197530864,0.9724686542324505,1019.1599100000167,11181642,11181642
eurosat,resnet18,linear_probe,0.9004938271604939,0.885432098765432,0.8832639414572505,636.0634109999992,5130,11181642
eurosat,resnet18,partial_ft,0.977037037037037,0.9750617283950618,0.9741065753499794,906.2105473999982,8398858,11181642
eurosat,resnet18,scratch,0.9375308641975308,0.928641975308642,0.9266863889026127,941.4069783999876,11181642,11181642
cifar10,resnet18,full_ft,0.9009876543209877,0.9007407407407407,0.9002852210952061,1065.5485938999918,11181642,11181642
cifar10,resnet18,linear_probe,0.779753086419753,0.7819753086419753,0.7799857058561591,477.5313496999988,5130,11181642
cifar10,resnet18,partial_ft,0.9212345679012346,0.9118518518518518,0.9118386920131888,1174.465142400004,8398858,11181642
cifar10,resnet18,scratch,0.7930864197530865,0.7812345679012346,0.7827391638412922,1425.4053920999868,11181642,11181642
